,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
115,Tue Jan 03 09:04:45 +0000 2017,1,0,Central Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
116,Tue Jan 03 09:04:44 +0000 2017,0,0,,0.7184,0.231,0.769,0.0,0,0,0,0,0,0,0
117,Tue Jan 03 09:04:44 +0000 2017,12,1,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1
118,Tue Jan 03 09:04:18 +0000 2017,0,0,London,-0.5994,0.0,0.795,0.205,0,0,0,1,0,0,0
119,Tue Jan 03 09:03:40 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
120,Tue Jan 03 09:03:10 +0000 2017,0,0,Pacific Time (US & Canada),-0.3818,0.0,0.833,0.167,0,0,0,0,0,0,0
121,Tue Jan 03 09:03:03 +0000 2017,2,0,Hawaii,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
122,Tue Jan 03 09:03:02 +0000 2017,0,0,,0.8779,0.402,0.598,0.0,0,1,0,0,0,0,0
123,Tue Jan 03 09:02:38 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
124,Tue Jan 03 09:02:35 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
125,Tue Jan 03 09:02:23 +0000 2017,7,0,,0.7783,0.245,0.755,0.0,1,0,0,0,0,0,1
126,Tue Jan 03 09:02:20 +0000 2017,0,0,,0.2732,0.095,0.905,0.0,0,1,0,0,0,0,0
127,Tue Jan 03 09:02:05 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
128,Tue Jan 03 09:02:01 +0000 2017,0,0,,0.6114,0.2,0.8,0.0,0,0,1,0,0,0,0
129,Tue Jan 03 09:01:47 +0000 2017,0,0,,0.5719,0.207,0.793,0.0,0,0,0,0,0,0,0
130,Tue Jan 03 09:01:40 +0000 2017,0,0,,0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
131,Tue Jan 03 09:01:40 +0000 2017,0,0,,0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
132,Tue Jan 03 09:01:40 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
133,Tue Jan 03 09:01:39 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
134,Tue Jan 03 09:01:39 +0000 2017,0,0,Central Time (US & Canada),0.0,0.175,0.649,0.175,1,0,0,0,0,0,0
